variant,variant_label,battery_id,best_epoch,physics_enabled,use_structural_loss,use_temporal_loss,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2
lu_lf,L_u + L_f,B0005,10,True,True,False,0.003485686638775994,0.004558666590543477,0.5133264112338836,0.9470723044737165,0.006971373277551988,0.009117333181086954,0.5133264112338836,0.9470723044737165
lu_lf,L_u + L_f,B0006,22,True,True,False,0.01602246831445133,0.018429550563145956,2.5457664924694137,0.6937967642443811,0.03204493662890266,0.03685910112629191,2.5457664924694137,0.6937967642443811
lu_lf,L_u + L_f,B0007,37,True,True,False,0.0029584414818707634,0.0038153296363781937,0.4059170288374643,0.9551867293528157,0.005916882963741527,0.0076306592727563875,0.4059170288374643,0.9551867293528157
lu_lf,L_u + L_f,B0018,52,True,True,False,0.003730565309524536,0.005027233208110258,0.5368609842991051,0.8700014930221226,0.007461130619049072,0.010054466416220516,0.5368609842991051,0.8700014930221226
lu_lf_lt,L_u + L_f + L_t,B0005,31,True,True,True,0.002479070541905422,0.0030233583050267927,0.3698378302222798,0.9767198076770618,0.004958141083810844,0.0060467166100535855,0.3698378302222798,0.9767198076770618
lu_lf_lt,L_u + L_f + L_t,B0006,45,True,True,True,0.015154444703868791,0.017453487112553207,2.399088281406707,0.7253720681172577,0.030308889407737582,0.03490697422510641,2.399088281406707,0.7253720681172577
lu_lf_lt,L_u + L_f + L_t,B0007,34,True,True,True,0.0028777473113116097,0.003642772133638091,0.3952433355000659,0.9591486398640008,0.005755494622623219,0.007285544267276182,0.3952433355000659,0.9591486398640008
lu_lf_lt,L_u + L_f + L_t,B0018,40,True,True,True,0.005565352737903595,0.006299859783821326,0.8026656108011818,0.7958534395766645,0.01113070547580719,0.012599719567642652,0.8026656108011818,0.7958534395766645
lu_lt,L_u + L_t,B0005,51,True,False,True,0.0021508698369942457,0.002702915062229791,0.3192401484812376,0.9813931814821018,0.0043017396739884915,0.005405830124459582,0.3192401484812376,0.9813931814821018
lu_lt,L_u + L_t,B0006,45,True,False,True,0.01446076000438017,0.016696937631147046,2.292291069481826,0.7486644410290444,0.02892152000876034,0.03339387526229409,2.292291069481826,0.7486644410290444
lu_lt,L_u + L_t,B0007,27,True,False,True,0.0025356131441452924,0.0033040819066300032,0.34690950664745007,0.966391887756167,0.005071226288290585,0.0066081638132600064,0.34690950664745007,0.966391887756167
lu_lt,L_u + L_t,B0018,40,True,False,True,0.003636099398136139,0.004725245172387447,0.5230763876956585,0.8851505302783288,0.007272198796272278,0.009450490344774893,0.5230763876956585,0.8851505302783288
lu_only,L_u,B0005,14,False,,,0.0030071536699930825,0.0037678712888774292,0.44476008438731846,0.9638424127788943,0.006014307339986165,0.0075357425777548585,0.44476008438731846,0.9638424127788943
lu_only,L_u,B0006,21,False,,,0.013861177014369591,0.016159731870977818,2.1762051788991195,0.7645771634520291,0.027722354028739182,0.032319463741955635,2.1762051788991195,0.7645771634520291
lu_only,L_u,B0007,42,False,,,0.0026981421545440075,0.003627284501607338,0.3688599169518185,0.9594952692080791,0.005396284309088015,0.007254569003214676,0.3688599169518185,0.9594952692080791
lu_only,L_u,B0018,42,False,,,0.004765117168426513,0.005536375581903427,0.6874388357675991,0.8423364179847412,0.009530234336853027,0.011072751163806854,0.6874388357675991,0.8423364179847412
